document,summary,id
"Prison Link Cymru had 1,099 referrals in 2015-16 and said some ex-offenders were living rough for up to a year before finding suitable accommodation.
Workers at the charity claim investment in housing would be cheaper than jailing homeless repeat offenders.
The Welsh Government said more people than ever were getting help to address housing problems.
Changes to the Housing Act in Wales, introduced in 2015, removed the right for prison leavers to be given priority for accommodation.
Prison Link Cymru, which helps people find accommodation after their release, said things were generally good for women because issues such as children or domestic violence were now considered.
However, the same could not be said for men, the charity said, because issues which often affect them, such as post traumatic stress disorder or drug dependency, were often viewed as less of a priority.
Andrew Stevens, who works in Welsh prisons trying to secure housing for prison leavers, said the need for accommodation was ""chronic"".
""There's a desperate need for it, finding suitable accommodation for those leaving prison there is just a lack of it everywhere,"" he said.
""It could take six months to a year, without a lot of help they could be on the streets for six months.
""When you think of the consequences of either being on the street, especially with the cold weather at the moment or you may have a roof over your head, sometimes there is only one choice.""
Mr Stevens believes building more one-bedroom flats could help ease the problem.
""The average price is a hundred pounds a week to keep someone in a rented flat, prison is a lot more than that so I would imagine it would save the public purse quite a few pounds,"" he said.
Official figures show 830 one-bedroom properties were built in the year to March 2016, of an overall total of 6,900 new properties in Wales.
Marc, 50, who has been in and out of prison for the past 20 years for burglary offences, said he struggled to find accommodation each time he was released.
He said he would ask himself: ""Where am I going to stay? Where am I going to live? Have I got somewhere where I can see my daughter.""
""You're put out among the same sort of people doing the same sort of thing, and it's difficult, it's difficult to get away from it. It's like every man for himself, there's nothing.""
Marc has now found stable accommodation with homeless charity Emmaus and said it had been life changing.
""You feel safe, you got hot food, you've got company of people in similar situations to yourself but all dealing with different issues. It's a constructive, helpful atmosphere,"" he said.
Tom Clarke, chief executive of Emmaus South Wales, agreed there was not enough support available.
""We do still see [people] homeless on the streets, so clearly they haven't got accommodation and haven't got provision,"" he said.
""I think the key is connecting people with the services they need. I don't delude myself that Emmaus can offer a one size fits all for everyone, we can't.
""But there must be other opportunities and given suitable encouragement I believe that can and should happen.""
A Welsh Government spokesman said the national pathway for homeless services to children, young people and adults in the secure estate had prevented many people from losing their home whilst serving their prison sentence.
It added there were already significant demands for one-bedroom flats across the public and private sector and it was providing 20,000 new affordable homes in the next five years.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.",38264402
"The leaflets said the patient had been referred for an urgent appointment as their symptoms might indicate cancer.
East Sussex NHS Trust has put the mix-up down to an external company that distributes its printed material.
It said the wrong patient information leaflets were added to hospital appointment letters sent out in March.
It has now contacted everyone affected to apologise and explain what went wrong.
Liz Fellows, assistant director of operations at the trust, said: ""It was an administrative error and we apologise for any unnecessary anxiety this error may have caused.""
East Sussex Healthcare NHS Trust covers Hastings, Eastbourne and Rother, and is responsible for the Conquest Hospital and Eastbourne District Hospital.
The trust said that due to the large number of appointment letters it sends out it uses an external printing company to print and distribute appointment letters.
It said each letter is coded to indicate any supplementary information that needs to accompany it.
Ms Fellows said: ""Unfortunately, for a short period in March, the printing company inadvertently miscoded approximately 850 letters resulting in a 'two-week information leaflet' being inserted with an appointment letter.
""As soon as the error became apparent it was stopped immediately, and letters of apology sent out.""",Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,32672009
"Media playback is not supported on this device
Doull emulated fellow Welshman Geraint Thomas, who won at the 2008 and 2012 Olympics, by helping Great Britain win team pursuit gold in world record time.
The 23-year-old joined record-breaking Sir Bradley Wiggins, Steven Burke and Ed Clancy to beat the world champions.
""That was just surreal, it feels dreamlike"" said the Cardiff rider.
Media playback is not supported on this device
""We've been in situations like that before when we've been so close and have lost so to pull it off now is unbelievable.""
He had previously won silver medals at the 2015 and 2016 World Championship - this year to the Australian team - but Doull earned Olympic redemption to add to the four Welsh silver medallists in Rio.
""I've dreamt of this moment for so long,"" added Doull.
""It's what gets you out of the bed in the morning. I've pictured crossing that line first and winning the Olympics and to finally be here and do it, it's just surreal. It's a culmination of four years of hard work.""
Swimmer Jazz Carlin, rower Victoria Thornley and rugby sevens players Sam Cross and James Davies had already enjoyed podium finishes before Doull secured Wales' seventh gold in the last three Olympics.
Wales had not won an Olympic title in 36 years when Nicole Cooke stormed to women's road race gold in 2008 - the first Welsh cycling medal ever at an Olympics.
But since Cooke's win in Beijing, Wales have won three more cycling gold medals - and could win a fifth on Saturday when Elinor Barker will help the British world record holding women bid for team pursuit gold.
Doull - who started cycling at the Maindy Fliers club in Cardiff like Thomas and Barker - had helped the Great Britain team to lower the world record in their heat demolition of New Zealand.
But Team GB were quickly behind in Friday's final as Australia led by 0.7 seconds at the halfway mark, before GB reeled them in and then pulled away in the final 500m to win the 4km race by 0.83 seconds - in a world record time of three minutes, 50.265 seconds.
Doull's team-mate Wiggins became the first Briton to win eight Olympic medals - five golds, one silver and two bronzes - as GB won a third successive team pursuit Olympic title.
""It gives you such confidence....you've got Brad on my right behind me and I've got Burke and Ed down below me,"" said Doull.
""It's Burke's second Olympic title in his discipline, it's Ed's third and he's the most decorated Yorkshireman, so he keeps telling me, so to have that calibre of team is just massive and it gives you such confidence.""",Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,37066439
"We received that question from Drew who is planning a trip to New York in December. He asked: ""Should I get my cash now or should I wait? Will there be much change between now and then?""
Anthony Reuben, from BBC Reality Check, had this answer: ""The BBC does not give financial advice, but here are a few things to bear in mind...
""The exchange rate between the pound and the dollar reflects the views of investors about the relative strengths of the two economies.
""Since the Brexit vote in June the pound has fallen about 18% against the dollar on the judgment that growth is likely to be stronger in the US than the UK and that UK interest rates are falling while the next movement in US rates is expected to be upwards.
""But it's always possible that something could happen to change that view - there is a presidential election in the US in November, for example. The outcome of that could make a considerable difference to the exchange rate.
""You do not necessarily have to put all your eggs in one basket - there is also the option to hedge your bets and buy half of your dollars now and half of them just before you go, as long as you are not going to be hit by extra charges for carrying out two transactions.
""It is always worth shopping around when buying currency - avoid buying your currency at the last minute at the airport. There are plenty of comparison sites online that will help you get the most dollars possible for your pounds, even if it is fewer than you would have got a few months ago.""
We asked readers to send in questions about the recent fall of the pound and rise of the FTSE 100.
Anthony chose Drew's question: ""I'm planning on going to New York in December, should I get my cash now or wait? Will there be much change between now and then?""
Take a look at some of the other questions you've wanted us to answer:
Why does the NHS spend on homeopathy?
Could the UK take over existing EU trade deals?
Does fracking affect the water supply?
If you are reading this page on the BBC News app, you will need to visit the mobile version of the BBC website to submit your question.","With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?",37624408
"Only 50.5 overs were possible at the MCG, but Australia still got wickets at regular intervals with Jackson Bird taking two for 53.
Azhar's 110-ball half-century saw him pass 1,000 Test runs in 2016.
Australia lead the three-Test series 1-0, having beaten Pakistan by 39 runs in the opener at the Gabba.
Sami Aslam was undone by Nathan Lyon after making just nine and, after Azhar and Babar Azam batted through the remainder of the morning, Azam edged the last ball before lunch from Josh Hazlewood to give Steve Smith his second catch.
Misbah-ul-Haq scored 11 off 13 balls with a four and a six before being brilliantly caught at short leg by Nic Maddinson off Bird.
Bird bowled Younus Khan off an inside edge to end a third-wicket stand of 51.
The wicket came shortly before the scheduled tea break and the weather meant that interval came early and play never resumed.",Azhar Ali's unbeaten 66 helped Pakistan to reach 142-4 against Australia on a rain-affected first day of the Boxing Day Test in Melbourne.,38435201
"The Alabama Securities Commission led the investigation, which helps prevent financial fraud against the elderly.
After an agent interviewed Lee, the commission's head said he was satisfied she wanted a second book published.
The new work - Go Set a Watchman - will be the 88-year-old American author's first release since the 1960s.
The surprise move prompted some suggestions Lee was manipulated into publishing the decades-old manuscript, which was discovered by her lawyer in the author's possessions last year.
""We closed the file. Let's just say that she was able to answer questions we asked to our satisfaction from our point of view,'' said Joseph Borg, Alabama Securities Commission director.
The New York Times reported that the investigation was sparked by requests from a doctor that the state investigate whether Lee was capable to have consented to the release of the work.
Lee herself was ""extremely hurt"" by allegations she was manipulated, her lawyer Tonja Carter said.
To Kill a Mockingbird was published in July 1960 and has sold more than 40 million copies around the world.
Go Set a Watchman was written before To Kill A Mockingbird, and features many of the same characters, with an adult Scout Finch returning to her native Alabama from New York to visit her father.",US investigators have closed an inquiry into whether To Kill A Mockingbird author Harper Lee was pressured into publishing a sequel.,31864223
"Media playback is not supported on this device
In an interview with Football Focus, the Argentine, 31, revealed the shock of his diagnosis last year and the subsequent support from his team-mates.
""It was really emotional to be back,"" he said. ""I feel born again and like I'm enjoying things for the first time.
""Of course, now I want to prove I can still be a Premier League player.""
Gutierrez had an operation to remove his left testicle in September 2014 after the discovery of a tumour, before undergoing chemotherapy.
He made his return to the Newcastle first team for the 1-0 defeat by Manchester United on 4 March as a substitute.
Gutierrez, who joined the Magpies from Real Mallorca in July 2008, is out of contract in the summer but is just focused on playing regularly again for the time being.
""I know my situation here is a little tricky,"" he said. ""The one thing I can do is work hard and do my best.
""I want to stay in England and I love the Premier League, but I don't know about the future.
""At present, I am with Newcastle and have two months to finish the season. When the season finishes, I start thinking about the future.""
The full interview with Jonas Gutierrez can be seen on Saturday's Football Focus at 1130 (GMT) and below are some of the highlights.
""When they told me I had cancer, it was a shock. I remember I was with the Newcastle doctor and I started crying,"" said Gutierrez.
""I went to my house to speak to my dad and he thought I was making a joke with him. He didn't realise and believe what I was telling him.""
He added: ""Chemotherapy is a hard treatment. I was just thinking after each session it was a day less I had to recover.
""I received a lot of support. To be back and train, do what you love, is another thing that makes you recover quickly.""
""It was really emotional to be back. It was good to have a first step a few days before against Aston Villa and be on the bench,"" said Gutierrez.
""When I came on against United, I could just focus on the game. It was unbelievable and to get the armband was a great touch.
""Now I want to fight for my place. What is in my head is to work hard, do all I can to get minutes on the pitch.""
""When the doctor told me I was recovering, I wanted to make a new tattoo,"" Gutierrez added.
""I love Eminem, so I put part of a song on my arm and I put the date. It says: 'I am alive again, more alive than I have been in my whole entire life.'""","Newcastle midfielder Jonas Gutierrez says he feels ""born again"" following his return to Premier League action after overcoming testicular cancer.",31991181
"According to three separate analyses, a flood of automated comments to the Federal Communications Commission (FCC) was detected over the weekend.
More than 400,000 comments with remarkably similar wording have been detected in recent days.
Net neutrality proponents argue that all internet traffic should be equal.
This means that no content provider should be able to, for example, charge more for faster access to certain data.
One expert described bot activity as a new form of protest.
""Someone has gone out of their way to make these seem like real submissions,"" wrote Chris Sinchok in a blog post about the apparently automated activity.
Having downloaded the comments and associated data, Mr Sinchok noticed that the names and email addresses associated with thousands of them also turned up in lists of personal data stolen from websites.
He told the BBC that this suggested someone might be using information collected from breached databases to make the submissions look more authentic.
""It really seems like this is getting pooled from some place in an automated fashion and it's coming in at unreasonable rates,"" he said.
He added that the uniformity of the data was also a possible giveaway.
For example, many comments are essentially identical save for the occasional, small difference - such as the exact same sentence appearing in multiple comments, but with different letters capitalised each time.
And the rate at which comments were posted also seemed suspicious, starting and stopping in bursts, he added.
Other watchers, including a graduate student at the Massachusetts Institute of Technology (MIT) and another at Harvard University, have also tracked a boom in apparently automated activity directed at the site in recent days.
Earlier this month, the FCC said it had been targeted by a distributed denial of service (DDoS) attack that led to downtime for the comments system.
This followed a television appearance by comedian John Oliver in which he urged people to post comments against the proposals on the FCC's website.
""Net neutrality is such a hot-button issue and it's one of the few examples of online activism that's actually amounted to something,"" noted Prof Phil Howard at the Oxford Internet Institute.
He cited the 2014 online protests, after which President Obama stepped in to recommend that the FCC drop earlier proposals to curtail net neutrality.
""This is how people protest these days,"" said Prof Howard, referring to the apparently automated comments.
He also pointed out that a growing number of people had the necessary programming skills to do it.
However, Mr Sinchok is concerned that the bot activity will create the impression that genuine opposition to the FCC's current proposals does not really exist.
""There are people that care about this issue a lot,"" he told the BBC.
""Activity like this is really muddying the waters - and I don't want it to give [the FCC] an excuse to say, 'Hey, there's mixed support for this.'""
The FCC has not yet responded to a BBC request for comment.","Bots appear to be spamming a US regulator's website over a proposed reversal of net neutrality rules, researchers have said.",39950399
"On Thursday, a human skull was found alongside the M54 slip road by workers doing a survey of the junction four roundabout, near Telford.
Police confirmed the skull was that of an adult male and had been there for at least two years.
West Mercia Police said ""further skeletal remains"" were found close to the skull.
The eastbound entry slip road remains partially closed.
Det Chief Insp Neil Jamieson said: ""We are in the very early stages of this investigation and inquiries are ongoing.""
He said further forensic examinations and excavations were being carried out and police had been in contact with neighbouring forces asking for information about people who had been reported missing.
Archaeological experts may be called in to help with the investigation.
""This will be a lengthy process but we will continue to update the public in due course,"" he added.","More human remains have been found near a motorway slip road in Shropshire, police have said.",34001040
"Omar Khan, 31, had worked at The Johnson Partnership in Nottingham for five years before he was arrested.
Erlin Manahasa, Albert Dibra and Nazaquat Ali joined Khan in admitting the same charge, between 1 October  and 4 December last year, at Nottingham Crown Court.
They are due to be sentenced on 15 April.
Updates on this story and more from Nottinghamshire
The court heard the case involved the recovery of 1kg (2.2lb) of cocaine.
Digby Johnson, a partner at the Johnson firm, confirmed they did not represent Khan - who had set up his own office and was set to leave the company.
""I still find it hard to believe he could do something as stupid as involve himself in drugs and people who were heavily involved in drugs,"" Mr Johnson said.
""I'm just at a loss. You do question everything you've ever believed about anybody.""
Mr Johnson also described Khan, of William Street, Huddersfield, as a ""lovely guy"" who was ""incredibly hard-working"".
""He would put in hour after hour,"" he added. ""He was keen to progress and impress.""
Khan appeared at the court via video link to admit conspiracy to supply the Class A drug.
Manahasa, of no fixed address, Dibra, of Joyce Avenue, Nottingham, and Ali, of Chard Street, Nottingham, were remanded in custody following the hearing.",A barrister who was due to move into his own chambers in Huddersfield has pleaded guilty to supplying cocaine.,35844158
